Source Name	Sample Name	Release Date	Characteristics [Organism]	Term Source REF	Term Accession Number	unit	Characteristics [project name]	Term Source REF	Term Accession Number	unit	Characteristics [collection date]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (country and/or sea)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (latitude)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (longitude)]	Term Source REF	Term Accession Number	unit	Characteristics [Depth]	Term Source REF	Term Accession Number	unit	Characteristics [broad-scale environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [local environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [environmental medium]	Term Source REF	Term Accession Number	unit
BIOCEAN5D	CR24	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_68574		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	4.4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000079		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000174		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002180	
BIOCEAN5D	CR25	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_68574		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	4.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000080		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000175		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002181	
BIOCEAN5D	CR27	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_68574		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	18.3			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000081		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000176		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002182	
BIOCEAN5D	CR29	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_68574		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	18.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000082		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000177		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002183	
BIOCEAN5D	CR30	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_68574		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	21.3			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000083		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000178		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002184	
BIOCEAN5D	CC1	2024-09-08	Crambe crambe	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3722		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	5.7			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000084		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000179		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002185	
BIOCEAN5D	CC3	2024-09-08	Crambe crambe	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3722		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	5.7			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000085		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000180		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002186	
BIOCEAN5D	CC4	2024-09-08	Crambe crambe	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3722		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	5.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000086		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000181		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002187	
BIOCEAN5D	CC8	2024-09-08	Crambe crambe	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3722		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000087		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000182		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002188	
BIOCEAN5D	CC9	2024-09-08	Crambe crambe	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3722		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000088		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000183		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002189	
